"u","ratio","scostamento","resonance","library_status","intensita_risonanza"
31,0.0864907091017812,0.246842624231552,0.425649522113746,"Library_-1 (Rumore)",0.0847
32,0.225477625383064,0.107855707950269,0.688521661497597,"Library_-1 (Rumore)",0.3401
33,0.527240572497249,0.193907239163915,0.511213004323657,"Library_-1 (Rumore)",0.1438
34,0.583890817128122,0.250557483794789,0.420213081584917,"Library_-1 (Rumore)",0.0816
35,0.54008888406679,0.206755550733457,0.488983075191912,"Library_-1 (Rumore)",0.1265
36,0.869014899479225,0.535681566145892,0.15667275013367,"Library_-1 (Rumore)",0.0047
37,0.816297477576882,0.482964144243548,0.188025027550972,"Library_-1 (Rumore)",0.008
38,0.776591381756589,0.443258048423256,0.215717220723225,"Library_-1 (Rumore)",0.0119
39,0.019023077795282,0.314310255538051,0.337026285796467,"Library_-1 (Rumore)",0.0431
40,0.435396656859666,0.102063323526333,0.702461025503925,"Library_-1 (Rumore)",0.3604
41,0.109617788810283,0.22371554452305,0.461112448252611,"Library_-1 (Rumore)",0.1068
42,0.805116457864642,0.471783124531309,0.195442121949071,"Library_-1 (Rumore)",0.0089
43,0.739902329165488,0.406568995832155,0.244917629591093,"Library_-1 (Rumore)",0.0172
44,0.472682724008337,0.139349390675003,0.617432983818932,"Library_-1 (Rumore)",0.2482
45,0.359512224094942,0.0261788907616089,0.913396054754008,"Library_0 (Possibilita)",0.7697
46,0.286635306663811,0.0466980266695221,0.850792350116297,"Library_0 (Possibilita)",0.6269
47,0.615634642541409,0.282301309208075,0.376500779081558,"Library_-1 (Rumore)",0.0594
48,0.245872330153361,0.0874610031799724,0.738866832674686,"Library_0 (Possibilita)",0.417
49,0.13023764337413,0.203095689959203,0.4952149633683,"Library_-1 (Rumore)",0.1312
50,0.0552951190620661,0.278038214271267,0.3820958608788,"Library_-1 (Rumore)",0.062
51,0.739649639232084,0.406316305898751,0.245131872403997,"Library_-1 (Rumore)",0.0172
52,0.651415284490213,0.318081951156879,0.33265632149692,"Library_-1 (Rumore)",0.0416
53,0.134203700814396,0.199129632518937,0.502057932737321,"Library_-1 (Rumore)",0.1365
54,0.872120334766805,0.538787001433472,0.154998219667585,"Library_-1 (Rumore)",0.0046
55,0.1881213625893,0.145211970744034,0.605033905722104,"Library_-1 (Rumore)",0.2341
56,0.59677181369625,0.263438480362917,0.401894797852745,"Library_-1 (Rumore)",0.0718
57,0.060080862371251,0.273252470962082,0.388476012881218,"Library_-1 (Rumore)",0.0651
58,0.756052153883502,0.422718820550169,0.231606404730025,"Library_-1 (Rumore)",0.0146
59,0.449597238795832,0.116263905462498,0.668778057738639,"Library_-1 (Rumore)",0.3127
60,0.834005019627512,0.500671686294178,0.176850090576228,"Library_-1 (Rumore)",0.0067
61,0.991406063782051,0.658072730448718,0.102581162827981,"Library_-1 (Rumore)",0.0014
62,0.778162460075691,0.444829126742358,0.214547691459202,"Library_-1 (Rumore)",0.0117
63,0.726171947317198,0.392838613983865,0.256834678122227,"Library_-1 (Rumore)",0.0197
64,0.942726978333667,0.609393645000334,0.12140067975219,"Library_-1 (Rumore)",0.0023
65,0.571172980824485,0.237839647491152,0.439118323110287,"Library_-1 (Rumore)",0.0927
66,0.495143532752991,0.161810199419657,0.571263375994097,"Library_-1 (Rumore)",0.1983
67,0.860047210007906,0.526713876674573,0.161610601741017,"Library_-1 (Rumore)",0.0052
68,0.869592040544376,0.536258707211043,0.156360178003635,"Library_-1 (Rumore)",0.0047
69,0.402526823570952,0.0691934902376185,0.787078508518762,"Library_0 (Possibilita)",0.5006
70,0.331249601673335,0.00208373165999848,0.992815683812329,"Library_1 (Necessita)",0.9794
71,0.0172688732855022,0.316064460047831,0.334986732903534,"Library_-1 (Rumore)",0.0424
72,0.314917783020064,0.0184155503132691,0.938265292465631,"Library_0 (Possibilita)",0.8318
73,0.355494757415727,0.0221614240823935,0.926182268767246,"Library_0 (Possibilita)",0.8012
74,0.454504021909088,0.121170688575755,0.657518907834445,"Library_-1 (Rumore)",0.2977
75,0.699466870166361,0.366133536833028,0.281698976038945,"Library_-1 (Rumore)",0.0257
76,0.190120207378641,0.143213125954693,0.609233138459783,"Library_-1 (Rumore)",0.2388
77,0.697703020647168,0.364369687313835,0.283423547504577,"Library_-1 (Rumore)",0.0262
78,0.475875000702217,0.142541667368884,0.610650288271513,"Library_-1 (Rumore)",0.2404
79,0.0803813764359802,0.252951956897353,0.416745792971042,"Library_-1 (Rumore)",0.0797
80,0.2466762624681,0.0866570708652337,0.740925083283533,"Library_0 (Possibilita)",0.4204
81,0.313612374477088,0.0197209588562449,0.93403665942889,"Library_0 (Possibilita)",0.821
82,0.619197772582993,0.28586443924966,0.371887269667204,"Library_-1 (Rumore)",0.0573
83,0.503390227211639,0.170056893878306,0.555192373519792,"Library_-1 (Rumore)",0.1826
84,0.434204131364822,0.100870798031489,0.705365681143599,"Library_-1 (Rumore)",0.3647
85,0.0999014540575445,0.233431879275789,0.445867096442456,"Library_-1 (Rumore)",0.0969
86,0.226174658397213,0.107158674936121,0.690184320522956,"Library_-1 (Rumore)",0.3425
87,0.133159636519849,0.200173696813484,0.500247404882171,"Library_-1 (Rumore)",0.1351
88,0.966708104126155,0.633374770792822,0.111733392849183,"Library_-1 (Rumore)",0.0018
89,0.618165178922936,0.284831845589603,0.373218414359773,"Library_-1 (Rumore)",0.0579
90,0.495681062340736,0.162347729007403,0.570201818991874,"Library_-1 (Rumore)",0.1972
91,0.608909849310294,0.27557651597696,0.385364496782351,"Library_-1 (Rumore)",0.0636
92,0.219154155347496,0.114179177985837,0.673619860272404,"Library_-1 (Rumore)",0.3192
93,0.0201394290197641,0.313193904313569,0.338330689728391,"Library_-1 (Rumore)",0.0436
94,0.69617015356198,0.362836820228646,0.284930852378198,"Library_-1 (Rumore)",0.0266
95,0.50566088501364,0.172327551680307,0.550847285775706,"Library_-1 (Rumore)",0.1785
96,0.165546646108851,0.167786687224482,0.559570861809878,"Library_-1 (Rumore)",0.1868
97,0.71980640059337,0.386473067260037,0.262554592426148,"Library_-1 (Rumore)",0.021
98,0.501196980243549,0.167863646910215,0.559421867753468,"Library_-1 (Rumore)",0.1866
99,0.486148956231773,0.15281562289844,0.589322696945469,"Library_-1 (Rumore)",0.2169
100,0.89111926779151,0.557785934458176,0.145136174237441,"Library_-1 (Rumore)",0.0038
101,0.45356309460476,0.120229761271427,0.65966317996054,"Library_-1 (Rumore)",0.3005
102,0.957873793551698,0.624540460218365,0.115201710949666,"Library_-1 (Rumore)",0.0019
103,0.259469393640757,0.0738639396925767,0.77446079852622,"Library_0 (Possibilita)",0.4778
104,0.924376474227756,0.591043140894423,0.129359318039182,"Library_-1 (Rumore)",0.0027
105,0.959456326207146,0.626122992873813,0.114572593903993,"Library_-1 (Rumore)",0.0019
106,0.475308908848092,0.141975575514759,0.611847616678913,"Library_-1 (Rumore)",0.2418
107,0.642852708697319,0.309519375363986,0.342659966706419,"Library_-1 (Rumore)",0.0453
108,0.141438700724393,0.19189463260894,0.514785587003515,"Library_-1 (Rumore)",0.1468
109,0.473366506630555,0.140033173297221,0.615973824898268,"Library_-1 (Rumore)",0.2465
110,0.569571050349623,0.23623771701629,0.4415591548256,"Library_-1 (Rumore)",0.0942
111,0.611263039754704,0.27792970642137,0.382239351467313,"Library_-1 (Rumore)",0.0621
112,0.221024681348354,0.11230865198498,0.677994006205742,"Library_-1 (Rumore)",0.3253
113,0.714879019651562,0.381545686318229,0.267069530236184,"Library_-1 (Rumore)",0.022
114,0.284677625866607,0.0486557074667265,0.845048491955136,"Library_0 (Possibilita)",0.6147
115,0.100410519866273,0.232922813467061,0.446653182883691,"Library_-1 (Rumore)",0.0974
116,0.817860360955819,0.484527027622486,0.187010936787521,"Library_-1 (Rumore)",0.0079
117,0.668352628825232,0.335019295491899,0.313720455504138,"Library_-1 (Rumore)",0.0351
118,0.013367967447266,0.319965365886067,0.33049541620212,"Library_-1 (Rumore)",0.0408
119,0.285866522463039,0.0474668108702948,0.8485320875484,"Library_0 (Possibilita)",0.6221
120,0.924628530163318,0.591295196829985,0.129246542824916,"Library_-1 (Rumore)",0.0027
121,0.177922480506822,0.155410852826511,0.584054174409493,"Library_-1 (Rumore)",0.2114
122,0.820834334939718,0.487501001606385,0.185096328746152,"Library_-1 (Rumore)",0.0076
123,0.87798119452782,0.544647861194486,0.151886502543428,"Library_-1 (Rumore)",0.0043
124,0.0831251407507807,0.250208192582553,0.420721273905876,"Library_-1 (Rumore)",0.0819
125,0.851310076657683,0.517976743324349,0.166571138780762,"Library_-1 (Rumore)",0.0056
126,0.95820950018242,0.624876166849087,0.115067966730411,"Library_-1 (Rumore)",0.0019
127,0.865166201023385,0.531832867690052,0.158773192692386,"Library_-1 (Rumore)",0.0049
128,0.798216451657936,0.464883118324603,0.200164610583457,"Library_-1 (Rumore)",0.0096
129,0.492590088862926,0.159256755529592,0.576333179484045,"Library_-1 (Rumore)",0.2034
130,0.456425558542833,0.123092225209499,0.653161559373541,"Library_-1 (Rumore)",0.292
131,0.125699562719092,0.207633770614242,0.487499376310428,"Library_-1 (Rumore)",0.1254
132,0.114499295363203,0.218834037970131,0.468967375565722,"Library_-1 (Rumore)",0.1121
133,0.0795389569830149,0.253794376350318,0.415532752821825,"Library_-1 (Rumore)",0.079
134,0.42419866588898,0.0908653325556467,0.730214151851085,"Library_0 (Possibilita)",0.4031
135,0.3888457310386,0.0555123977052669,0.825234922440717,"Library_0 (Possibilita)",0.574
136,0.323880868963897,0.00945246436943609,0.967821162052598,"Library_1 (Necessita)",0.9098
137,0.338057638378814,0.00472430504548055,0.983785581197083,"Library_1 (Necessita)",0.9539
138,0.0502501090522856,0.283083224281048,0.375483485113864,"Library_-1 (Rumore)",0.059
139,0.84053607005626,0.507202736722926,0.172898257226035,"Library_-1 (Rumore)",0.0063
140,0.298981560859829,0.0343517724735041,0.887926800691362,"Library_0 (Possibilita)",0.7093
141,0.457677806261927,0.124344472928594,0.650337468432506,"Library_-1 (Rumore)",0.2884
142,0.452299611642957,0.118966278309623,0.662553525291218,"Library_-1 (Rumore)",0.3043
143,0.47233475651592,0.139001423182587,0.618176856099368,"Library_-1 (Rumore)",0.2491
144,0.995002784766257,0.661669451432924,0.101312392428459,"Library_-1 (Rumore)",0.0013
145,0.828867926262319,0.495534592928986,0.180021824825231,"Library_-1 (Rumore)",0.007
146,0.680352031253278,0.347018697919945,0.300961184291281,"Library_-1 (Rumore)",0.0311
147,0.338510083034635,0.00517674970130128,0.982246596179461,"Library_1 (Necessita)",0.9495
148,0.233289899071679,0.100043434261655,0.707387959967627,"Library_-1 (Rumore)",0.3677
149,0.834971836768091,0.501638503434757,0.17625943845197,"Library_-1 (Rumore)",0.0066
150,0.118040186120197,0.215293147213136,0.474748693341245,"Library_-1 (Rumore)",0.1161
151,0.52483462379314,0.191501290459807,0.515486720704118,"Library_-1 (Rumore)",0.1473
152,0.750655712559819,0.417322379226486,0.23597183979612,"Library_-1 (Rumore)",0.0154
153,0.704857147065923,0.371523813732589,0.276493495152785,"Library_-1 (Rumore)",0.0243
154,0.903282496612519,0.569949163279186,0.139154459167084,"Library_-1 (Rumore)",0.0033
155,0.0194698635023087,0.313863469831025,0.337547729213411,"Library_-1 (Rumore)",0.0433
156,0.82966867624782,0.496335342914487,0.179523710584269,"Library_-1 (Rumore)",0.007
157,0.66873821313493,0.335404879801596,0.313302162220004,"Library_-1 (Rumore)",0.0349
158,0.300910893594846,0.0324224397384872,0.893874420079567,"Library_0 (Possibilita)",0.7231
159,0.43635124899447,0.103017915661136,0.70014453028591,"Library_-1 (Rumore)",0.3569
160,0.816190695855767,0.482857362522433,0.188094514174039,"Library_-1 (Rumore)",0.008
161,0.260137121425942,0.0731962119073917,0.776252266700849,"Library_0 (Possibilita)",0.481
162,0.195654304232448,0.137679029100885,0.621012006070683,"Library_-1 (Rumore)",0.2524
163,0.837761281291023,0.50442794795769,0.174566332093051,"Library_-1 (Rumore)",0.0064
164,0.408495625248179,0.0751622919148455,0.770989234657604,"Library_0 (Possibilita)",0.4716
165,0.109615907305852,0.223717426027482,0.461109446194668,"Library_-1 (Rumore)",0.1068
166,0.436072972835973,0.10273963950264,0.700819029116663,"Library_-1 (Rumore)",0.3579
167,0.533958612009883,0.20062527867655,0.499466333979116,"Library_-1 (Rumore)",0.1345
168,0.546265184879303,0.21293185154597,0.478643608403055,"Library_-1 (Rumore)",0.1189
169,0.114276657346636,0.219056675986697,0.468606229347479,"Library_-1 (Rumore)",0.1119
170,0.213877607369795,0.119455725963538,0.661432364502734,"Library_-1 (Rumore)",0.3028
171,0.353143374901265,0.0198100415679316,0.933748787837458,"Library_0 (Possibilita)",0.8203
172,0.220045264111832,0.113288069221502,0.675700149538142,"Library_-1 (Rumore)",0.3221
173,0.913660899735987,0.580327566402654,0.134245818820052,"Library_-1 (Rumore)",0.003
174,0.491282679606229,0.157949346272896,0.578946401501243,"Library_-1 (Rumore)",0.2061
175,0.400179410586134,0.0668460772528003,0.793497709214756,"Library_0 (Possibilita)",0.5125
176,0.0537974326871336,0.2795359006462,0.380120816991915,"Library_-1 (Rumore)",0.0611
177,0.842910035746172,0.509576702412839,0.171483796466112,"Library_-1 (Rumore)",0.0061
178,0.793694211868569,0.460360878535236,0.203321443892575,"Library_-1 (Rumore)",0.01
179,0.668998406734318,0.335665073400984,0.313020211698583,"Library_-1 (Rumore)",0.0349
180,0.0416833020281047,0.291650031305229,0.364516250244952,"Library_-1 (Rumore)",0.0541
181,0.951395582873374,0.618062249540041,0.117813265573173,"Library_-1 (Rumore)",0.0021
182,0.269675710471347,0.0636576228619863,0.802300740368059,"Library_0 (Possibilita)",0.5291
183,0.51104338793084,0.177710054597507,0.540682790389393,"Library_-1 (Rumore)",0.1691
184,0.792935264995322,0.459601931661988,0.203856098531819,"Library_-1 (Rumore)",0.0101
185,0.163859283551574,0.16947404978176,0.556313210108865,"Library_-1 (Rumore)",0.1836
186,0.0555688673630357,0.277764465970298,0.382457968665742,"Library_-1 (Rumore)",0.0622
187,0.900381630286574,0.567048296953241,0.140558289842343,"Library_-1 (Rumore)",0.0034
188,0.453196770744398,0.119863437411065,0.660499882568383,"Library_-1 (Rumore)",0.3016
189,0.129292559577152,0.204040773756181,0.493598140140871,"Library_-1 (Rumore)",0.13
190,0.547777764499187,0.214444431165854,0.476144973133426,"Library_-1 (Rumore)",0.1171
191,0.852371265180409,0.519037931847076,0.165960613610284,"Library_-1 (Rumore)",0.0056
192,0.849283424206078,0.515950090872745,0.167743364138976,"Library_-1 (Rumore)",0.0057
193,0.281654948368669,0.0516783849646648,0.836255987033878,"Library_0 (Possibilita)",0.5964
194,0.119340698700398,0.213992634632935,0.476889928077788,"Library_-1 (Rumore)",0.1177
195,0.384457549778745,0.0511242164454113,0.837861101259421,"Library_0 (Possibilita)",0.5998
196,0.212795219151303,0.12053811418203,0.658959707635262,"Library_-1 (Rumore)",0.2996
197,0.404476700816303,0.0711433674829702,0.781785904140073,"Library_0 (Possibilita)",0.4909
198,0.893349137390032,0.560015804056699,0.144020624044925,"Library_-1 (Rumore)",0.0037
199,0.587044109590352,0.253710776257018,0.415652974623633,"Library_-1 (Rumore)",0.0791
200,0.0327056394889951,0.300627693844338,0.353366623170278,"Library_-1 (Rumore)",0.0495
201,0.0493738611694425,0.283959472163891,0.374346727215648,"Library_-1 (Rumore)",0.0584
202,0.386622155550867,0.053288822217534,0.831608887835191,"Library_0 (Possibilita)",0.5869
203,0.683746313909069,0.350412980575735,0.297447045045493,"Library_-1 (Rumore)",0.0301
204,0.706202927744016,0.372869594410683,0.275208928062024,"Library_-1 (Rumore)",0.024
205,0.210328365210444,0.12300496812289,0.653358799504833,"Library_-1 (Rumore)",0.2923
206,0.781339411623776,0.448006078290443,0.212202070134308,"Library_-1 (Rumore)",0.0113
207,0.248464544769377,0.0848687885639568,0.745524080533797,"Library_0 (Possibilita)",0.428
208,0.128406684147194,0.204926649186139,0.492087402328315,"Library_-1 (Rumore)",0.1288
209,0.94600996747613,0.612676634142796,0.120029373354296,"Library_-1 (Rumore)",0.0022
210,0.801551674026996,0.468218340693663,0.197867844026268,"Library_-1 (Rumore)",0.0093
211,0.00472279032692313,0.32861054300641,0.320755212000348,"Library_-1 (Rumore)",0.0374
212,0.808235669974238,0.474902336640904,0.193344004250536,"Library_-1 (Rumore)",0.0087
213,0.614148580469191,0.280815247135858,0.378441791459888,"Library_-1 (Rumore)",0.0603
214,0.246733938110992,0.086599395222341,0.741072966358075,"Library_0 (Possibilita)",0.4206
215,0.916768693365157,0.583435360031823,0.132809905334221,"Library_-1 (Rumore)",0.0029
216,0.509330905042589,0.175997571709255,0.543896188610244,"Library_-1 (Rumore)",0.172
217,0.065514791989699,0.267818541343634,0.395849551874635,"Library_-1 (Rumore)",0.0687
218,0.263541683554649,0.069791649778684,0.785451109275906,"Library_0 (Possibilita)",0.4976
219,0.249108272604644,0.084225060728689,0.747186559402985,"Library_0 (Possibilita)",0.4307
220,0.24977682903409,0.0835565042992433,0.7489170847035,"Library_0 (Possibilita)",0.4336
221,0.382862405385822,0.0495290720524887,0.842498554474011,"Library_0 (Possibilita)",0.6094
222,0.0157664201688021,0.317566913164531,0.333249698196516,"Library_-1 (Rumore)",0.0418
223,0.0643662244547158,0.268967108878617,0.394279433647893,"Library_-1 (Rumore)",0.0679
224,0.838672590209171,0.505339256875838,0.174016728029683,"Library_-1 (Rumore)",0.0064
225,0.180927704786882,0.152405628546452,0.590159354108846,"Library_-1 (Rumore)",0.2178
226,0.547126321354881,0.213792988021548,0.477219491121868,"Library_-1 (Rumore)",0.1179
227,0.201611026888713,0.13172230644462,0.633945005255057,"Library_-1 (Rumore)",0.2679
228,0.150382757885382,0.182950575447952,0.530966652009552,"Library_-1 (Rumore)",0.1605
229,0.414045934565365,0.080712601232032,0.756323286465157,"Library_0 (Possibilita)",0.4461
230,0.980244843522087,0.646911510188753,0.106620415825256,"Library_-1 (Rumore)",0.0016
231,0.14207744714804,0.191255886185293,0.515924638307553,"Library_-1 (Rumore)",0.1477
232,0.542075784644112,0.208742451310779,0.485632755246571,"Library_-1 (Rumore)",0.124
233,0.82768281083554,0.494349477502207,0.180761574845501,"Library_-1 (Rumore)",0.0071
234,0.816164521500468,0.482831188167135,0.188111550666364,"Library_-1 (Rumore)",0.008
235,0.870339364511892,0.537006031178559,0.155956363371294,"Library_-1 (Rumore)",0.0047
236,0.0371656431816518,0.296167690151681,0.358862343548276,"Library_-1 (Rumore)",0.0517
237,0.100511419121176,0.232821914212157,0.446809153432653,"Library_-1 (Rumore)",0.0975
238,0.845365607412532,0.512032274079199,0.170032886976155,"Library_-1 (Rumore)",0.006
239,0.676391316344962,0.343057983011628,0.305114279469723,"Library_-1 (Rumore)",0.0324
240,0.49282321613282,0.159489882799486,0.575868450311135,"Library_-1 (Rumore)",0.2029
241,0.319546502549201,0.0137868307841321,0.953414067061691,"Library_0 (Possibilita)",0.8712
242,0.246119213057682,0.0872141202756514,0.739498300313467,"Library_0 (Possibilita)",0.4181
243,0.545367562677711,0.212034229344378,0.480132588444377,"Library_-1 (Rumore)",0.12
244,0.971081029390916,0.637747696057583,0.110055431994246,"Library_-1 (Rumore)",0.0017
245,0.016793614719063,0.31653971861427,0.334436294280838,"Library_-1 (Rumore)",0.0422
246,0.378745815716684,0.0454124823833505,0.85458537164621,"Library_0 (Possibilita)",0.635
247,0.0386613705195487,0.294671962813785,0.36072448670217,"Library_-1 (Rumore)",0.0525
248,0.485846055438742,0.152512722105409,0.589940698525012,"Library_-1 (Rumore)",0.2176
249,0.889635279076174,0.556301945742841,0.145883362749242,"Library_-1 (Rumore)",0.0038
250,0.218392787501216,0.114940545832117,0.671847525117962,"Library_-1 (Rumore)",0.3168
251,0.570581977255642,0.237248643922309,0.440017249648262,"Library_-1 (Rumore)",0.0932
252,0.0669347797520459,0.266398553581287,0.397799354029531,"Library_-1 (Rumore)",0.0697
253,0.604234863771126,0.270901530437792,0.391649099309648,"Library_-1 (Rumore)",0.0666
254,0.778216456528753,0.44488312319542,0.214507608765593,"Library_-1 (Rumore)",0.0117
255,0.576455483911559,0.243122150578226,0.431164671543407,"Library_-1 (Rumore)",0.0879
256,0.624935498228297,0.291602164894963,0.364576630106314,"Library_-1 (Rumore)",0.0541
257,0.857701751869172,0.524368418535839,0.162927552267301,"Library_-1 (Rumore)",0.0053
258,0.23243563179858,0.100897701534753,0.705300019562118,"Library_-1 (Rumore)",0.3646
259,0.589171399828047,0.255838066494713,0.412604598174262,"Library_-1 (Rumore)",0.0774
260,0.314224344212562,0.0191089891207715,0.936016645636722,"Library_0 (Possibilita)",0.8261
261,0.328322226414457,0.00501110691887635,0.982809748540228,"Library_1 (Necessita)",0.9511
262,0.0803123691584915,0.253020964174842,0.416646293067434,"Library_-1 (Rumore)",0.0796
263,0.434388403082266,0.101055069748933,0.704916063909641,"Library_-1 (Rumore)",0.364
264,0.70561043638736,0.372277103054027,0.275773732623202,"Library_-1 (Rumore)",0.0242
265,0.618263585027307,0.284930251693974,0.373091351227751,"Library_-1 (Rumore)",0.0579
266,0.203277479857206,0.130055853476127,0.637611117754408,"Library_-1 (Rumore)",0.2724
267,0.325454031815752,0.00787930151758093,0.973103908616994,"Library_1 (Necessita)",0.9242
268,0.417596399318427,0.0842630659850935,0.747088304879523,"Library_0 (Possibilita)",0.4306
269,0.220612435834482,0.112720897498851,0.677027553811395,"Library_-1 (Rumore)",0.3239
270,0.728640148183331,0.395306814849998,0.254650493703371,"Library_-1 (Rumore)",0.0192
271,0.72646188759245,0.393128554259116,0.256577133335935,"Library_-1 (Rumore)",0.0196
272,0.737689963541925,0.404356630208592,0.246799755792675,"Library_-1 (Rumore)",0.0175
273,0.0942824725061655,0.239050860827168,0.43728178127743,"Library_-1 (Rumore)",0.0916
274,0.592395561980084,0.25906222864675,0.408026986002434,"Library_-1 (Rumore)",0.075
275,0.188817181158811,0.144516152174522,0.606492407800612,"Library_-1 (Rumore)",0.2357
276,0.645694760372862,0.312361427039529,0.339306685270217,"Library_-1 (Rumore)",0.044
277,0.182888082694262,0.150445250639071,0.594176256868262,"Library_-1 (Rumore)",0.2221
278,0.741743840277195,0.408410506943862,0.243361951148788,"Library_-1 (Rumore)",0.0168
279,0.859619250753894,0.526285917420561,0.161850099946182,"Library_-1 (Rumore)",0.0052
280,0.0826078816317022,0.250725451701631,0.419968919588177,"Library_-1 (Rumore)",0.0815
281,0.480594436638057,0.147261103304724,0.600759070482462,"Library_-1 (Rumore)",0.2293
282,0.710069930646569,0.376736597313235,0.271550933634885,"Library_-1 (Rumore)",0.0231
283,0.922268398571759,0.588935065238426,0.130306377490151,"Library_-1 (Rumore)",0.0028
284,0.612611308461055,0.279277975127722,0.380460221943598,"Library_-1 (Rumore)",0.0613
285,0.467357902554795,0.134024569221462,0.628914795093129,"Library_-1 (Rumore)",0.2618
286,0.331535293022171,0.00179804031116265,0.993797632496849,"Library_1 (Necessita)",0.9822
287,0.814271353185177,0.480938019851844,0.189347886219122,"Library_-1 (Rumore)",0.0082
288,0.0886327282059938,0.24470060512734,0.428816130501767,"Library_-1 (Rumore)",0.0866
289,0.697414990980178,0.364081657646845,0.283706164310086,"Library_-1 (Rumore)",0.0262
290,0.354756749467924,0.0214234161345909,0.928550480561202,"Library_0 (Possibilita)",0.8072
291,0.279062830610201,0.0542705027231326,0.828788815361862,"Library_0 (Possibilita)",0.5812
292,0.689875323325396,0.356541989992062,0.291205225186492,"Library_-1 (Rumore)",0.0283
293,0.862296098610386,0.528962765277053,0.160357871687051,"Library_-1 (Rumore)",0.005
294,0.883172913221642,0.549839579888309,0.149182272799403,"Library_-1 (Rumore)",0.0041
295,0.538903675507754,0.205570342174421,0.490992574454747,"Library_-1 (Rumore)",0.128
296,0.489039128180593,0.15570579484726,0.583458407223179,"Library_-1 (Rumore)",0.2108
297,0.205242204479873,0.12809112885346,0.641960655084687,"Library_-1 (Rumore)",0.2778
298,0.324736842652783,0.00859649068055052,0.970691990534256,"Library_1 (Necessita)",0.9176
299,0.843465431360528,0.510132098027195,0.171154553368879,"Library_-1 (Rumore)",0.0061
300,0.268696878571063,0.06463645476227,0.799587936304879,"Library_0 (Possibilita)",0.5239
301,0.84016869077459,0.506835357441257,0.173118189893175,"Library_-1 (Rumore)",0.0063
302,0.184798364061862,0.148534969271471,0.598116809869505,"Library_-1 (Rumore)",0.2264
303,0.920708926161751,0.587375592828418,0.131011434201339,"Library_-1 (Rumore)",0.0028
304,0.614820784889162,0.281487451555828,0.377562558705229,"Library_-1 (Rumore)",0.0599
305,0.541512944269925,0.208179610936592,0.48657948185906,"Library_-1 (Rumore)",0.1247
306,0.826887487666681,0.493554154333348,0.181259719958167,"Library_-1 (Rumore)",0.0072
307,0.776526673464105,0.443193340130771,0.215765526800287,"Library_-1 (Rumore)",0.0119
308,0.714200240792707,0.380866907459373,0.267697546898116,"Library_-1 (Rumore)",0.0222
309,0.814830239163712,0.481496905830378,0.188982062217318,"Library_-1 (Rumore)",0.0081
